"#"	"Injection Id"	"SampleName"	"Assigned Mass"	"Retention Time"	"Width @ Baseline"	"USP Tailing"	"Area"	"% Area"
6	2702	"Dirty API 1"	"  283"	15.557	1.041889e-001		5116	0.32
7	2702	"Dirty API 1"	"  672"	16.003	3.225679e-001	1.036720e+000	1456186	89.95
8	2702	"Dirty API 1"	"  171"	16.554	1.091900e-001		5318	0.33
9	2702	"Dirty API 1"	"  718"	16.685	1.358624e-001		10012	0.62
10	2702	"Dirty API 1"	"  547"	17.282	1.558666e-001	1.134558e+000	7854	0.49
11	2702	"Dirty API 1"	"  531"	18.892	1.708698e-001		15348	0.95
12	2702	"Dirty API 1"	"  673"	20.922	2.333832e-001	1.101182e+000	71618	4.42
"#"	"Injection Id"	"SampleName"	"Assigned Mass"	"Retention Time"	"Width @ Baseline"	"USP Tailing"	"Area"	"% Area"
1	2706	"Dirty API 1"	"  688"	10.093	8.418465e-002		10722	0.66
2	2706	"Dirty API 1"	"  200"	10.229	9.585381e-002		7331	0.45
3	2706	"Dirty API 1"	"  750"	10.531	9.752083e-002		11156	0.68
4	2706	"Dirty API 1"	"  704"	10.664	1.075230e-001		12171	0.75
5	2706	"Dirty API 1"	"  279"	10.864	6.584740e-002		6919	0.42
6	2706	"Dirty API 1"	"  672"	11.198	2.583885e-001	1.051251e+000	1471077	90.07
7	2706	"Dirty API 1"	"  171 (1)"	11.536	8.835220e-002		6556	0.40
8	2706	"Dirty API 1"	"  718"	11.643	1.316948e-001		12053	0.74
9	2706	"Dirty API 1"	"  171 (2)"	11.999	1.008549e-001	1.368825e+000	8377	0.51
10	2706	"Dirty API 1"	"  532"	13.012	1.408634e-001	9.079651e-001	14949	0.92
11	2706	"Dirty API 1"	"  673"	14.239	1.375294e-001	1.149428e+000	72030	4.41
"#"	"Injection Id"	"SampleName"	"Assigned Mass"	"Retention Time"	"Width @ Baseline"	"USP Tailing"	"Area"	"% Area"
1	2710	"Dirty API 1"	"  660"	5.670	6.501389e-002	9.876051e-001	6852	0.41
2	2710	"Dirty API 1"	"  688 (1)"	5.976	7.918358e-002		11925	0.72
3	2710	"Dirty API 1"	"  704 (1)"	6.024	3.917503e-002		6000	0.36
4	2710	"Dirty API 1"	"  688 (2)"	6.052	5.834579e-002		5245	0.32
5	2710	"Dirty API 1"	"  750"	6.192	5.334473e-002		11637	0.70
6	2710	"Dirty API 1"	"  704 (2)"	6.257	6.501389e-002		13073	0.79
7	2710	"Dirty API 1"	"  575"	6.302	4.084206e-002		5531	0.33
8	2710	"Dirty API 1"	"  335"	6.420	7.751656e-002		5113	0.31
9	2710	"Dirty API 1"	"  672 (1)"	6.575	1.458645e-001	1.082339e+000	1467964	88.45
10	2710	"Dirty API 1"	"  672 (2)"	6.677	3.667450e-002		5266	0.32
11	2710	"Dirty API 1"	"  672 (3)"	6.707	3.584099e-002		5106	0.31
12	2710	"Dirty API 1"	"  718"	6.784	6.334686e-002		9455	0.57
13	2710	"Dirty API 1"	"  171 (1)"	6.904	5.084419e-002		8509	0.51
14	2710	"Dirty API 1"	"  171 (2)"	7.476	6.501389e-002		13032	0.79
15	2710	"Dirty API 1"	"  482"	7.643	8.085060e-002		6684	0.40
16	2710	"Dirty API 1"	"  102"	7.751	8.001709e-002		5103	0.31
17	2710	"Dirty API 1"	"  673"	8.073	1.108570e-001	1.074948e+000	73156	4.41
"#"	"Injection Id"	"SampleName"	"Assigned Mass"	"Retention Time"	"Width @ Baseline"	"USP Tailing"	"Area"	"% Area"
1	2714	"Dirty API 1"	"  688 (1)"	13.856	1.191921e-001	1.085025e+000	11144	0.68
2	2714	"Dirty API 1"	"  688 (2)"	14.047	1.867065e-001	8.086365e-001	9293	0.56
3	2714	"Dirty API 1"	"  750"	14.503	1.425304e-001	1.044136e+000	11168	0.68
4	2714	"Dirty API 1"	"  704"	14.702	1.658688e-001	9.644069e-001	13390	0.81
5	2714	"Dirty API 1"	"  122"	15.091	1.541996e-001		7493	0.46
6	2714	"Dirty API 1"	"  532"	15.329	7.334900e-002		6043	0.37
7	2714	"Dirty API 1"	"  672 (1)"	15.403	2.042103e-001	1.040196e+000	1477754	89.81
8	2714	"Dirty API 1"	"  672 (2)"	15.562	1.208591e-001		6128	0.37
9	2714	"Dirty API 1"	"  718"	16.105	8.918571e-002		8175	0.50
10	2714	"Dirty API 1"	"  549"	16.729	1.500320e-001		8852	0.54
11	2714	"Dirty API 1"	"  531"	18.149	1.441975e-001		14904	0.91
12	2714	"Dirty API 1"	"  673"	20.005	2.108784e-001	1.095900e+000	71099	4.32
